ID,target,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131
3,1,1.33573941541,8.72747443554,C,3.9210257481,7.91526571423,2.59927780824,3.17689497363,0.012941465862,9.99999947099,0.503281467753,16.4341080862,6.08571076128,2.86682950383,11.6363868896,1.35501321371,8.57142854392,3.67035019539,0.106720429743,0.14888314104,18.8692829411,7.73092330797,XDX,-0.0000000171613069776,C,0.139411580932,1.72081822724,3.3935027632,0.590121939566,8.88086701416,C,A,1.08303338528,1.01082941196,7.2701466347,8.37545196217,11.3265915991,0.454545677382,0,4.01208777281,7.71145325051,7.65342888696,12.7075805065,2.01550470836,10.4983376798,9.84867187112,0.113560642201,C,12.1717333877,8.08664273703,0.899420004327,7.27779242121,G,16.7479682989,0.0370963267851,1.29963825969,DI,3.97111848021,0.529802240876,10.8909835264,1.58844803814,15.8581516012,1,0.153461079024,6.36318946738,18.3039250056,C,9.31407880467,15.231788691,17.1428574251,11.784548964,F,1,1.61498798446,B,D,2.23093963012,7.29241830268,8.57142890455,E,3.00000025246,7.52832574522,8.86164670767,0.649819922639,1.29963839277,1.70731688035,0.866426226093,9.55183632401,3.32129979102,0.0956783635519,0.905342303211,A,0.442251719136,5.81401771065,3.51772042641,0.462018705378,7.43682361621,5.45454545153,8.87741409628,1.19133666077,19.4701993581,8.3892368941,2.7573751178,4.37429613813,1.57403918955,0.00729381570294,12.5791841154,E,2.38269187952,3.93092197313,B,0.433212908896,O,,15.6349073965,2.85714382626,1.95121981409,6.59201218656,5.90909118516,-0.000000629742333974,1.05960261631,0.803571856245,8.00000009011,1.98978020257,0.0357536852518,AU,1.80412570107,3.11371907882,2.02428537747,0,0.636364508524,2.85714373637
4,1,,,C,,9.19126518062,,,2.30163049167,,1.31290991714,,6.50764677834,,11.6363858116,,,,,,,6.76310950301,GUV,,C,3.05614400295,,,,,C,A,,,3.61507749877,,14.5794790997,,0,,14.3057660695,,,,,,2.44995891398,E,,,1.37921006565,,G,,1.12946854702,,DY,,,,,,2,2.54473645861,,,A,,,,12.0533533464,F,2,,B,D,,,,D,,7.277654881,3.43069147778,,,,,9.84800355465,,2.67858428749,,B,,,,,,,8.30396698186,,,,,,,1.50533466054,,B,1.82536061827,4.24785787293,A,,U,G,10.3080435124,,,10.5953571881,,,,,,,0.598895645966,AF,,,1.95782501113,0,,
5,1,0.943876910249,5.31007920093,C,4.41096869049,5.32615938231,3.97959189371,3.92857110919,0.0196451311527,12.6666671203,0.765863972354,14.7560976181,6.38467003054,2.50558923501,9.60354169034,1.98412659356,5.88235254063,3.17084681657,0.244541009292,0.144258357818,17.9523323824,5.245035293,FQ,-0.000000278505311875,E,0.113997005931,2.24489700448,5.30612238088,0.836005198853,7.49999902141,,A,1.45408216352,1.73469331578,4.04386445402,7.959184164,12.7305166711,0.259740087946,0,7.37896421032,13.077201031,6.1734689961,12.3469387391,2.92683021211,8.89756056061,5.34381925288,0.126034580183,C,12.7113276867,6.83673416333,0.604504083445,9.63762741572,F,15.1020412064,0.0855728571877,0.765305213839,AS,4.03061279592,4.27745565526,9.10548129878,2.15136070618,16.0756017418,1,0.12364323389,5.51794893518,16.3772050942,A,8.36734735267,11.0404634116,5.88235318306,8.46065382328,B,3,2.41361805912,B,B,1.96397088774,5.91836798397,11.7647051098,E,3.33333415722,10.1944326037,8.26619953042,1.53061129962,1.53061294252,2.42990598353,1.07142921184,8.44746469457,3.36734633981,0.111387749552,0.811446631684,G,0.271480024555,5.15655927691,4.21494429016,0.309656546041,5.66326547256,5.97402643579,11.5888576837,0.841836966067,15.4913290143,5.87935260888,3.29278821835,5.92445666958,1.6684009287,0.00827461866654,11.6705722564,C,1.37575341259,1.18421123454,B,3.36734760342,S,,11.2055613195,12.9411772578,3.12925255007,3.47891071355,6.23376679159,-0.000000279274509344,2.13872826498,2.23880649666,9.3333334404,2.47759578758,0.0134519140866,AE,1.77370901616,3.92219329592,1.12046841832,2,0.883117534003,1.17647150311
6,1,0.797414556191,8.30475713591,C,4.22592985639,11.6274384197,2.09770043999,1.98754875148,0.171946704524,8.96551632111,6.5426694717,16.3474825682,9.64665283318,3.90330196103,14.0947229615,1.94504357631,5.51724207287,3.61078899247,1.22411385948,0.231630426159,18.3764069936,7.51712473865,ACUE,-0.000000480534415339,D,0.148843060463,1.30826911786,2.30363992373,8.92666214981,8.87452061031,C,B,1.58764421277,1.66666665805,8.7035497275,8.89846765352,11.3027954208,0.433734580856,0,0.287321729537,11.5230447278,7.93103538744,12.9358232528,1.47087763036,12.7085738386,9.67082280712,0.108386926533,C,12.1948546338,8.59195436011,3.32917647093,4.7803574955,H,16.6216949851,0.139721167475,1.17816127286,BW,3.96551725054,1.7321022085,11.7779122241,1.22924580457,15.9273903892,1,0.14025970166,6.29297931706,17.0116452161,A,9.70306481508,18.5681291358,9.4252876768,13.5947279796,F,2,2.27254122548,B,D,2.1881978718,8.21360159871,13.4482765107,B,1.94726083876,4.79787295284,13.3158194346,1.68103428466,1.37931034471,1.58704470067,1.24281659141,10.7471439795,1.40804565706,0.0390513176649,1.04242538529,B,0.763924561888,5.49890185272,3.4239440698,0.832518187347,7.37547962049,6.74698798786,6.94200238787,1.33461123453,18.2563517282,8.50728053078,2.50305498427,4.87215743131,2.57366401187,0.113967370132,12.5542740058,B,2.23075377812,1.99013061154,B,2.64367823601,J,,13.777666376,10.574713194,1.51106331569,4.94960863512,7.18072207281,0.565508646742,1.16628079899,1.95652074268,7.01825615557,1.81279497706,0.00226738407459,CJ,1.41523038905,2.95438126645,1.99084677233,1,1.67710760065,1.03448285251
8,1,,,C,,,,,,,1.05032835954,,6.32008733304,,10.9910978265,,,,,,,6.414566898,HIT,,E,,,,,,,A,,,6.08315059915,,,,0,,10.1389198803,,,,,,,I,,,1.36453586424,,H,,,,,,,,,,1,,,,C,,,,,F,1,,B,D,,,,C,,,,,,,,,,,,G,,,,,,,,,,,,,,,,C,,,A,,T,G,14.0970986719,,,,,,,,,,,Z,,,,0,,
9,0,,,C,,8.85679096154,,,0.359993128846,,1.05032784251,,6.21607696606,,11.9162554811,,,,,,,7.35142553751,AYX,,A,0.218458329739,,,,,,A,,,7.49661288613,,15.4979644858,,0,,7.90391491147,,,,,,0.262632068254,I,,,1.6535829699,,K,,0.131277662768,,DX,,,,,,1,0.276523969751,,,A,,,,11.521160185,F,1,,B,D,,,,I,,7.97837512372,3.81135561372,,,,,9.61844282095,,0.116390245914,,G,,,,,,,8.97010297795,,,,,,,0.19353045175,,C,1.76376514708,2.4426158769,A,,D,X,15.7505017927,,,8.85167705636,,,,,,,0.0498611642727,X,,,1.53622222858,0,,
12,0,0.899805657905,7.31299494722,C,3.49414846822,9.94619971703,1.92606996638,1.77042746203,0.0662514981243,5.01128698221,2.34135611559,16.2745100416,7.71117448561,5.915587527,12.148604293,1.9683027447,6.60194081192,2.87397388814,0.484132516245,0.443661326329,17.2266746429,6.66147915405,NFD,0.000000781301894149,E,0.180764707826,1.0700397831,1.56614697365,4.39384198201,7.92801533205,G,A,1.61965067586,2.00389190741,3.96491146424,8.73540770038,13.9678769345,0.549451214332,0,0.0315872908233,14.7876410586,7.2665361186,14.4455262363,1.30718952243,11.7656379916,9.40668895814,0.110774029198,C,13.2568778583,8.36575893999,0.133519633528,6.36855483582,A,16.7607357611,0.0976927129755,1.72178911751,AS,3.67704235641,0.729927459134,12.8587515548,0.980869592916,15.0678929216,2,0.1644154339,5.17556341723,15.6559417912,A,8.92996039905,19.1240883276,11.4563101833,14.1525693365,F,2,2.51906330173,B,D,1.70918846916,7.3540849252,12.4271837085,E,1.53498861443,6.32815874211,3.49095064143,1.86770519719,1.98443585107,2.59187611722,1.12354138905,10.9995477937,1.1478604888,0.0759584951775,1.34375235321,B,0.766421668295,5.87506895351,5.84175377532,0.863300868974,6.64396878412,6.04395679776,6.07967843658,1.30188069862,19.0364960457,7.49282791547,2.51189779003,6.31083528117,4.69727605424,0.0477030707763,11.075755945,B,2.2548185474,5.18092204869,B,2.5680943023,I,,9.01008228353,8.54369031777,1.34969270575,12.1687189797,6.59340627787,1.53272696234,0.846716096677,2.23255795202,3.47629889363,1.99259417043,0.0837583243449,BJ,3.27610019095,1.62329754962,2.2665751472,0,2.26373639459,0.970873003961
21,1,,,C,,,,,,,1.83807424973,,6.42448208598,,12.7939446719,,,,,,,7.80670371896,AHBW,,D,,,,,,C,A,,,11.0775055812,,,,0,,3.03451334605,,,,,,,I,,,2.68212104965,,C,,,,DP,,,,,,2,,,,C,,,,,F,2,,B,D,,,,C,,,,,,,,,,,,A,,,,,,,,,,,,,,,,E,,,A,,F,M,18.7056100874,,,,,,,,,,,BY,,,,0,,
22,0,2.07865125956,8.46261880883,,3.73902977371,5.26563585054,1.5730334727,2.30337099049,0.0158692120181,11.1111105679,4.4638940222,16.0509553754,8.71504708332,2.34805335684,12.6034033973,1.58046054997,6.6666671354,3.05213223351,0.139939232797,0.180616419915,17.7546033953,6.03495346404,GKQ,-0.000000364317293188,E,0.0589056745766,1.6479403833,3.08988798199,0.759033889622,8.14606779647,,,1.26404496161,1.34831460857,6.95262109444,8.08988764829,12.7543137324,0.97561065817,0,3.16899964678,12.1995515094,7.07865150898,11.7415729108,2.03821617699,10.173000315,7.93683697259,0.0851758104337,D,12.9409068764,7.9213475251,1.67559219444,8.85183191487,H,16.551724911,0.0153907119518,1.17977569494,AF,4.38202300812,0.505051156967,10.0227231958,1.44194670055,15.555608402,0,0.0677198301558,5.40664288195,16.8564466358,B,8.82022545724,15.6565664322,11.6666661301,9.7277134536,B,0,1.99044524641,B,B,1.84099024849,7.07865189065,10.0000004486,P,2.96296357916,10.2531818389,8.2311738231,1.01123533003,1.34831365361,1.59999964434,0.926967278835,6.96161623351,2.47191042873,0.0402160164965,0.910867311321,C,0.585039575882,5.00481032432,3.09411628015,0.632525219503,6.74157250504,6.82926906858,9.82360954153,0.720974170348,19.4949490486,6.67209079974,1.78024634143,4.67994356179,1.65340429756,0.00607144475001,11.4609726849,D,1.19440252443,1.15131573114,C,1.68539339843,L,,12.5368349569,8.33333233574,1.9310336396,3.41918622519,7.8048772301,0.518242267737,1.41414237252,1.27659528002,8.14814806904,1.8755604368,0.018659498773,S,1.15963676135,5.58286509168,1.10528267834,0,1.17073112827,3.33333425897
23,1,1.14480237605,5.8806060887,C,3.24446880767,9.53838366676,2.50000056822,1.55940533805,0.41260995477,9.97752875289,2.36323761362,16.0914009596,7.41785322063,4.17694945826,13.7900458588,2.31955841852,5.90000027797,2.76865180984,0.81277747443,0.271821571344,18.4100669082,8.31244698379,PYF,0.0000000395597900191,C,0.509588196478,1.1685231175,1.41089130625,6.90827505252,9.0594054208,C,A,2.06064312892,2.47524664096,6.49872928061,9.60396110049,14.6586084622,0.793651099899,0,0.0752583773556,10.8031260241,8.27970357075,13.2673276948,1.23872494338,10.2958497758,12.4803977647,0.343972741532,I,13.9826028266,8.95420774434,0.993324147416,6.68232708909,A,16.4890719817,0.232800293808,1.70792173495,,3.81188033769,6.41739164147,13.2043378091,1.05507424717,13.5282671747,3,0.390693586015,4.87455400385,16.4992306809,A,10.2908421777,19.4956525769,9.2000004251,15.0527535995,F,3,2.78111920952,B,D,1.66867105666,8.64480281741,13.0999994086,C,2.65168587378,7.0174753819,3.67944470333,2.43193038049,2.19059386973,2.74774859264,1.51299566245,12.3247000439,0.878712188284,0.171152595795,1.18965692485,A,1.02295401218,5.43263945436,3.15251332754,1.15878266993,7.46905915298,7.38095243906,5.77273496978,1.17986754747,13.5826092404,7.1972890812,3.69434737128,4.38946582314,3.0016087085,0.278599077186,10.0642053071,E,2.24059028336,3.83753015404,A,3.97277167571,J,P,13.434123266,10.7000007878,1.27049098074,10.7194926063,8.17460374584,8.93128260678,0.434781963484,2.71596357525,7.32584268299,4.89661689165,0.00894365293469,E,1.34455025252,1.60117591782,1.92800934643,0,3.17460284643,1.00000015968
